@relation 'citation'
@attribute _id integer
@attribute 2000 real
@attribute 2001 real
@attribute 2002 real
@attribute 2003 real
@attribute 2004 real
@attribute 2005 real
@attribute 2006 real
@attribute 2007 real
@attribute 2008 real
@attribute 2009 real
@attribute average_average_citation real
@attribute average_citation real
@attribute average_coauthor real
@attribute average_publication real
@attribute cs_average_ranking_percentile real
@attribute journal_count_percentage real
@attribute max_average_citation real
@attribute max_citation real
@attribute max_coauthor real
@attribute max_publication real
@attribute non_cs_average_ranking_percentile real
@attribute outside_cs_percentage real
@attribute tire_1_count real
@attribute tire_1_percentage real
@attribute tire_2_count real
@attribute tire_2_percentage real
@attribute venue_average_citation real
@attribute venue_ranking_percentile real
@attribute venue_type {'Journal', 'Conference', 'Unknown'}
@attribute label {-1, 1}

@data
262148 , 3 , 15 , 11 , 11 , 24 , 25 , 26 , 27 , 36 , 23 , 4.9815575345 , 578.0 , 386.5 , 99.5 , 6.59942877544 , 0.321313816494 , 8.08665978891 , 1019 , 544 , 126 , 6.75747508306 , 0.097065462754 , 21 , 0.749732238486 , 22 , 0.785433773652 , 55.0459400563 , 1.25 , Journal , 1
270343 , 4 , 6 , 19 , 38 , 26 , 35 , 45 , 38 , 41 , 40 , 0.0 , 0.0 , 89.0 , 0.0 , 6.5326839272 , 0.23071007434 , 0.0 , 0 , 89 , 0 , 14.0923845194 , 0.170389278877 , 20 , 0.512689054089 , 28 , 0.717764675724 , 0 , 0 , Unknown , 1
704526 , 3 , 9 , 10 , 14 , 11 , 11 , 14 , 17 , 12 , 7 , 3.94725463754 , 67.0 , 240.0 , 18.0 , 14.3722510996 , 0.239904038385 , 4.23940149626 , 117 , 470 , 32 , 0.0 , 0.000399840063974 , 7 , 0.279888044782 , 13 , 0.519792083167 , 15.224093494 , 6.89 , Journal , -1
57359 , 3 , 5 , 6 , 4 , 9 , 13 , 18 , 5 , 17 , 19 , 10.8281656156 , 363.5 , 91.0 , 27.5 , 6.44129891757 , 0.249791840133 , 15.3534872649 , 645 , 108 , 42 , 12.8514851485 , 0.0776325903151 , 7 , 0.582847626978 , 9 , 0.7493755204 , 33.1524628553 , 0.4 , Conference , -1
24551 , 6 , 5 , 15 , 9 , 16 , 13 , 18 , 26 , 7 , 20 , 4.85179828434 , 435.0 , 645.0 , 103.5 , 18.9069286453 , 0.172354360565 , 6.26673808249 , 519 , 851 , 151 , 99.0099009901 , 0.0336554481839 , 5 , 0.172354360565 , 5 , 0.172354360565 , 19.9530990056 , 1.69 , Journal , -1
286746 , 10 , 26 , 8 , 9 , 21 , 11 , 22 , 20 , 20 , 17 , 11.4672192575 , 1077.0 , 74.3333333333 , 50.3333333333 , 8.54442172234 , 0.159054760282 , 25.7895175402 , 3095 , 124 , 120 , 0.0 , 0.000227221086117 , 17 , 0.386275846399 , 23 , 0.522608498069 , 36.2857707408 , 0.77 , Conference , -1
1286172 , 21 , 17 , 8 , 8 , 5 , 6 , 6 , 11 , 10 , 3 , 2.77633648347 , 219.083333333 , 283.083333333 , 25.5 , 8.62964572919 , 0.195609650076 , 12.901472746 , 2374 , 1109 , 184 , 44.49500998 , 0.0982160360714 , 22 , 0.478156922408 , 29 , 0.630297761356 , 0 , 0 , Unknown , -1
540711 , 8 , 16 , 9 , 13 , 10 , 19 , 11 , 11 , 11 , 9 , 0.620994514826 , 17.25 , 64.0 , 10.75 , 10.8653337254 , 0.176418700382 , 1.8851756641 , 66 , 225 , 35 , 0.0 , 0.000294031167304 , 4 , 0.117612466921 , 13 , 0.382240517495 , 15.9873940179 , 0.51 , Conference , -1
294952 , 7 , 13 , 14 , 10 , 11 , 4 , 9 , 19 , 9 , 6 , 5.91763294682 , 148.0 , 249.0 , 25.0 , 9.89263235839 , 0.629396519807 , 5.91763294682 , 148 , 249 , 25 , 6.153078203 , 0.182066040594 , 15 , 0.555349870418 , 15 , 0.555349870418 , 36.4170069628 , 1.76 , Journal , -1
2048041 , 5 , 7 , 17 , 22 , 38 , 40 , 50 , 57 , 43 , 69 , 2.78088142559 , 127.0 , 56.0 , 38.3333333333 , 5.48205361199 , 0.499772830532 , 4.04624277457 , 259 , 71 , 64 , 3.91963214714 , 0.532014465007 , 16 , 0.726942298955 , 18 , 0.817810086324 , 33.9823893781 , 12.02 , Journal , 1
4358186 , 19 , 24 , 17 , 14 , 32 , 21 , 23 , 19 , 30 , 23 , 5.41017347839 , 184.0 , 107.0 , 34.0 , 15.7892516794 , 0.421809092329 , 5.41017347839 , 184 , 107 , 34 , 7.10891089109 , 0.0155360713736 , 21 , 0.328073738478 , 24 , 0.374941415404 , 8.49278786465 , 15.32 , Journal , 1
15245359 , 2 , 8 , 6 , 9 , 10 , 10 , 13 , 7 , 14 , 9 , 2.11174851971 , 45.0 , 128.0 , 19.5 , 10.1572285143 , 0.666222518321 , 2.39321417752 , 79 , 151 , 33 , 11.5149501661 , 0.167129372571 , 4 , 0.266489007328 , 5 , 0.333111259161 , 16.0292692518 , 15.84 , Journal , -1
15245360 , 1 , 2 , 3 , 5 , 7 , 17 , 14 , 12 , 13 , 6 , 2.53026628703 , 94.0 , 120.5 , 38.5 , 15.2412645591 , 0.665557404326 , 3.51328191945 , 123 , 136 , 42 , 2.0495049505 , 0.144079885877 , 1 , 0.166389351082 , 1 , 0.166389351082 , 16.0292692518 , 15.84 , Journal , -1
335926 , 9 , 15 , 19 , 9 , 9 , 16 , 9 , 9 , 5 , 12 , 3.81168747508 , 172.666666667 , 261.666666667 , 67.6666666667 , 8.88266245725 , 0.315706393054 , 5.30109276912 , 228 , 433 , 133 , 0.0 , 0.000263088660879 , 15 , 0.394632991318 , 20 , 0.526177321757 , 33.7042940683 , 0.48 , Conference , -1
57413 , 3 , 5 , 2 , 9 , 17 , 14 , 11 , 8 , 10 , 8 , 3.03355051995 , 288.666666667 , 252.0 , 64.0 , 10.8024596464 , 0.307455803228 , 4.5954045954 , 820 , 646 , 182 , 16.2277227723 , 0.0720913633119 , 4 , 0.307455803228 , 6 , 0.461183704842 , 11.8049245063 , 6.3 , Journal , -1
663624 , 5 , 6 , 9 , 7 , 7 , 13 , 13 , 6 , 4 , 4 , 1.24937531234 , 25.0 , 45.0 , 20.0 , 17.6054259876 , 0.237981913375 , 1.24937531234 , 25 , 45 , 20 , 0.0 , 0.000475963826749 , 3 , 0.142789148025 , 6 , 0.28557829605 , 16.1996947654 , 0.73 , Journal , -1
106569 , 5 , 18 , 2 , 5 , 12 , 19 , 11 , 10 , 5 , 6 , 13.6078543113 , 1414.25 , 443.25 , 121.0 , 9.44241634072 , 0.391134289439 , 23.2401550704 , 2360 , 1058 , 225 , 0.0 , 0.000434593654933 , 10 , 0.434593654933 , 14 , 0.608431116906 , 20.0270710754 , 4.88 , Conference , -1
139345 , 22 , 37 , 64 , 66 , 97 , 122 , 107 , 113 , 96 , 80 , 6.62095257723 , 159.666666667 , 131.666666667 , 12.6666666667 , 8.55795866973 , 0.311088067551 , 14.1567236375 , 439 , 235 , 31 , 4.47394718059 , 0.0940205355345 , 66 , 0.488852677579 , 82 , 0.607362417599 , 89.4446754299 , 0.23 , Conference , 1
2039898 , 4 , 5 , 10 , 9 , 11 , 7 , 6 , 15 , 17 , 12 , 6.45013712157 , 168.4 , 623.6 , 64.8 , 6.09620991254 , 0.374843815077 , 10.9452736318 , 277 , 1974 , 235 , 19.7425742574 , 0.0403838464614 , 16 , 0.666389004581 , 19 , 0.79133694294 , 55.0459400563 , 1.25 , Journal , -1
745569 , 5 , 5 , 11 , 9 , 16 , 11 , 5 , 5 , 7 , 9 , 1.91797592328 , 94.0 , 164.0 , 49.0 , 6.76203451408 , 0.181653042688 , 1.91797592328 , 94 , 164 , 49 , 15.8123752495 , 0.312929419113 , 9 , 0.817438692098 , 9 , 0.817438692098 , 11.7816548554 , 16.64 , Journal , -1
1384547 , 8 , 16 , 17 , 16 , 11 , 17 , 17 , 16 , 22 , 13 , 0.184186291277 , 14.0 , 30.5 , 38.0 , 13.4796001081 , 0.486355039179 , 0.368372582555 , 28 , 57 , 76 , 4.84593437946 , 0.159281981368 , 13 , 0.351256417185 , 16 , 0.432315590381 , 32.8308466234 , 0.51 , Journal , -1
284006 , 5 , 4 , 10 , 10 , 15 , 11 , 12 , 14 , 13 , 13 , 1.11396743787 , 39.0 , 59.0 , 17.5 , 9.25170377101 , 0.318037255793 , 2.22793487575 , 78 , 117 , 35 , 0.910299003322 , 0.120351859256 , 7 , 0.318037255793 , 7 , 0.318037255793 , 4.99399829795 , 2.47 , Conference , -1
385129 , 3 , 8 , 8 , 10 , 12 , 7 , 10 , 7 , 8 , 10 , 2.06597800733 , 62.0 , 111.0 , 30.0 , 5.53594771242 , 0.192233756248 , 2.06597800733 , 62 , 111 , 30 , 0.0 , 0.000384467512495 , 16 , 0.615148019992 , 20 , 0.76893502499 , 21.8600433702 , 1.19 , Conference , -1
226663 , 11 , 22 , 58 , 44 , 69 , 59 , 101 , 78 , 105 , 95 , 5.88877143048 , 355.333333333 , 581.0 , 44.0 , 13.7818920998 , 0.351609713218 , 10.2237220347 , 818 , 1393 , 80 , 17.9312929419 , 0.149612185777 , 21 , 0.2307438743 , 43 , 0.472475552137 , 16.0292692518 , 15.84 , Journal , 1
254065 , 11 , 12 , 13 , 11 , 7 , 4 , 4 , 2 , 2 , 3 , 4.79441631591 , 415.2 , 538.8 , 43.6 , 6.48515142605 , 0.294031167304 , 11.2986433985 , 1774 , 2362 , 157 , 1.75124378109 , 0.055817828381 , 25 , 0.735077918259 , 26 , 0.76448103499 , 21.1847667271 , 2.64 , Journal , -1
229490 , 12 , 17 , 17 , 19 , 10 , 25 , 28 , 33 , 45 , 45 , 5.42264141298 , 320.5 , 68.5 , 41.5 , 14.7791310671 , 0.454462824941 , 9.31677018634 , 615 , 75 , 66 , 16.8379052369 , 0.0679545839688 , 11 , 0.199963642974 , 15 , 0.272677694965 , 40.0363960276 , 0.59 , Journal , 1
663669 , 4 , 8 , 7 , 11 , 10 , 3 , 5 , 3 , 2 , 7 , 4.02165869694 , 717.5 , 136.75 , 59.5 , 15.7343329489 , 0.384467512495 , 12.822144448 , 2821 , 275 , 220 , 0.0 , 0.000384467512495 , 4 , 0.153787004998 , 6 , 0.230680507497 , 9.53013430223 , 2.75 , Conference , -1
745590 , 2 , 7 , 5 , 4 , 8 , 5 , 14 , 9 , 9 , 10 , 1.60833861099 , 53.5 , 99.0 , 29.5 , 21.1018981019 , 0.699300699301 , 1.91797592328 , 94 , 164 , 49 , 19.6777408638 , 0.231360491929 , 0 , 0.0 , 1 , 0.0999000999001 , 11.7816548554 , 16.64 , Journal , -1
