@relation 'citation'
@attribute id integer
@attribute 2000 integer
@attribute 2001 integer
@attribute 2002 integer
@attribute 2003 integer
@attribute 2004 integer
@attribute 2005 integer
@attribute 2006 integer
@attribute 2007 integer
@attribute 2008 integer
@attribute 2009 integer
@attribute sum integer
@data
262148,3,15,11,11,24,25,26,27,36,23,201
270343,4,6,19,38,26,35,45,38,41,40,292
704526,3,9,10,14,11,11,14,17,12,7,108
57359,3,5,6,4,9,13,18,5,17,19,99
286746,10,26,8,9,21,11,22,20,20,17,164
1286172,21,17,8,8,5,6,6,11,10,3,95
540711,8,16,9,13,10,19,11,11,11,9,117
294952,7,13,14,10,11,4,9,19,9,6,102
2048041,5,7,17,22,38,40,50,57,43,69,348
4358186,19,24,17,14,32,21,23,19,30,23,222
15245359,2,8,6,9,10,10,13,7,14,9,88
15245360,1,2,3,5,7,17,14,12,13,6,80
335926,9,15,19,9,9,16,9,9,5,12,112
57413,3,5,2,9,17,14,11,8,10,8,87
663624,5,6,9,7,7,13,13,6,4,4,74
106569,5,18,2,5,12,19,11,10,5,6,93
139345,22,37,64,66,97,122,107,113,96,80,804
155738,9,10,18,7,13,8,5,3,9,9,91
745569,5,5,11,9,16,11,5,5,7,9,83
1384547,8,16,17,16,11,17,17,16,22,13,153
87398,9,9,8,15,25,14,17,12,10,14,133
2054844,3,3,7,11,13,13,14,28,21,40,153
537959,4,4,7,9,9,13,12,11,8,12,89
254065,11,12,13,11,7,4,4,2,2,3,69
229490,12,17,17,19,10,25,28,33,45,45,251
663669,4,8,7,11,10,3,5,3,2,7,60
745590,2,7,5,4,8,5,14,9,9,10,73
2064504,1,4,1,3,9,9,11,14,13,12,77
196736,8,13,27,34,41,43,52,57,55,51,381
565382,4,8,17,20,20,29,35,30,28,25,216
176222,9,21,30,34,32,52,46,34,36,20,314
2023565,4,5,6,15,14,10,12,11,15,5,97
24718,8,13,8,6,5,7,9,8,8,7,79
262291,5,2,9,5,8,4,11,13,8,5,70
319636,86,134,204,309,381,382,410,371,322,340,2939
1269928,9,12,26,24,35,24,34,33,39,35,271
663721,13,18,11,21,15,21,26,12,13,12,162
852138,11,16,13,4,0,7,3,13,2,10,79
852139,19,13,16,7,5,9,10,10,7,10,106
802988,12,10,18,13,22,30,26,40,29,29,229
303278,18,21,20,34,25,23,20,13,12,14,200
305864,19,30,40,35,32,34,22,25,11,18,266
1286325,1,6,9,10,8,8,20,12,8,8,90
1261750,25,35,42,65,92,98,115,128,127,126,853
305865,13,12,10,12,19,4,5,6,5,8,94
188,45,43,60,56,72,68,85,62,66,78,635
2038474,7,6,6,10,9,7,13,12,21,13,104
159857,4,10,12,5,7,16,11,11,7,9,92
311499,11,9,9,23,21,25,9,17,3,4,131
803020,3,7,13,18,12,12,9,6,5,8,93
278735,6,11,13,19,8,16,10,14,10,3,110
303320,16,34,50,47,35,44,47,44,36,35,388
1368283,27,31,57,77,102,134,130,169,170,178,1075
663773,19,26,26,31,16,16,9,13,5,7,168
286944,12,16,26,36,46,59,50,35,35,36,351
344289,4,6,7,8,14,13,17,9,13,18,109
1343715,10,17,19,16,29,26,29,23,12,19,200
663782,13,11,12,8,9,13,12,3,3,4,88
286955,15,19,33,32,31,37,30,42,38,29,306
1286381,5,7,10,12,10,13,16,14,19,20,126
540919,9,8,7,8,17,7,6,9,3,10,84
803067,10,19,22,22,21,16,16,13,13,6,158
73981,8,6,6,11,5,9,11,12,11,8,87
2072832,4,7,3,7,8,9,9,9,14,9,79
286980,9,10,19,19,17,7,13,10,3,8,115
264,19,13,12,10,6,5,5,5,10,6,91
1949961,14,12,9,27,16,14,16,16,17,10,151
131344,10,9,10,9,7,14,16,6,5,8,94
164113,7,5,5,12,10,12,11,11,9,21,103
303380,0,5,3,3,7,17,14,14,15,22,100
277,18,18,17,20,11,7,8,7,4,4,114
540957,5,4,4,7,10,6,9,13,6,2,66
90398,9,6,6,11,19,15,23,15,18,12,134
762147,15,11,13,10,12,9,5,13,9,1,98
74020,21,17,28,38,46,52,33,37,28,24,324
540965,6,14,11,12,8,4,9,3,8,2,77
295209,8,9,11,6,11,6,6,8,6,6,77
1343788,17,8,9,4,10,5,7,4,3,2,69
1638702,12,20,20,13,27,11,12,7,9,8,139
704816,12,7,18,20,16,13,21,15,19,12,153
319795,6,6,13,12,28,16,6,13,12,10,122
1294645,19,20,25,22,22,28,28,29,39,46,278
205110,10,9,17,11,14,12,12,8,17,7,117
1663287,8,10,17,19,26,26,30,28,29,16,209
1302842,60,74,82,88,96,83,67,40,39,24,653
695008,11,21,20,14,25,35,31,30,30,37,254
540999,47,41,81,66,73,63,75,44,45,44,579
2384200,2,8,4,14,12,6,13,17,9,14,99
116108,10,13,21,10,14,8,10,8,2,1,97
704843,12,16,15,11,12,8,4,10,6,2,96
1376589,19,34,48,38,49,39,55,52,53,34,421
1684443,3,8,9,11,19,28,22,30,30,46,206
762191,11,17,18,28,31,42,56,94,91,124,512
319824,2,5,10,8,11,17,21,13,15,25,127
565592,3,12,4,12,4,7,10,12,16,10,90
1941850,9,9,6,7,10,12,7,15,9,14,98
1040731,10,26,38,34,52,44,53,51,44,36,388
762212,10,4,11,9,11,6,10,14,7,7,89
1352041,11,22,26,20,13,13,7,6,3,6,127
14410096,9,11,18,7,18,15,25,20,19,13,155
303475,10,11,16,14,16,21,17,14,14,10,143
1950068,0,1,2,5,15,11,20,14,15,17,100
39254761,24,37,57,78,81,114,126,143,144,128,932
1302908,9,12,15,19,16,11,10,7,4,4,107
106877,4,4,15,12,12,17,16,4,10,4,98
762240,15,15,26,35,36,45,59,52,52,54,389
139649,17,18,16,22,11,11,3,5,11,5,119
869782,3,10,12,6,11,11,13,18,25,17,126
561217,4,9,11,13,15,20,11,19,17,25,144
154348,12,4,8,13,6,7,9,13,5,5,82
1302922,7,29,37,34,48,50,59,46,48,42,400
139660,2,1,2,4,5,2,11,14,21,26,88
1272557,8,20,26,36,28,40,43,28,17,33,279
254361,12,20,24,35,38,17,20,20,21,25,232
1384860,7,8,16,15,12,13,6,27,9,22,135
74142,5,2,5,9,17,6,14,24,22,18,122
762272,1,0,5,5,8,14,15,16,30,33,127
4145576,3,1,1,4,4,10,14,17,17,15,86
1180074,9,15,20,24,35,27,17,15,16,16,194
1180075,5,7,12,11,19,31,24,37,25,43,214
254381,11,7,24,22,26,25,40,43,45,27,270
114760,7,9,19,12,11,10,5,12,3,1,89
221623,1,3,5,5,11,11,9,13,28,10,96
1319352,12,7,1,6,1,2,8,0,1,1,39
2875836,4,4,8,9,6,9,4,6,9,12,71
762302,1,4,2,12,16,13,18,27,30,30,153
2388962,0,1,4,4,9,6,4,14,13,19,74
303563,11,13,17,25,25,25,22,22,26,21,207
706522,15,13,20,27,34,25,27,20,33,26,240
74193,6,11,6,8,19,13,8,2,7,6,86
295383,19,23,20,24,11,20,11,9,6,4,147
188890,0,0,4,16,6,13,13,7,5,8,72
287195,22,22,15,21,15,25,32,21,12,14,199
573916,7,2,15,20,16,17,9,10,18,13,127
180708,3,13,12,13,14,14,10,9,9,5,102
1917415,20,29,22,15,12,15,10,18,12,15,168
573928,8,15,20,24,17,12,14,18,12,14,154
229872,14,14,21,13,7,6,7,7,8,4,101
497,14,17,17,18,11,18,17,8,13,12,145
1352179,5,6,10,10,8,13,15,11,7,14,99
311797,9,15,17,16,26,23,35,30,10,27,208
1638902,2,10,12,23,32,37,17,23,11,10,177
172535,8,8,7,10,11,14,8,6,4,5,81
1335802,6,14,13,12,16,8,10,10,3,9,101
516604,6,8,6,4,13,17,9,7,8,8,86
123389,4,15,18,27,20,21,15,29,16,11,176
164361,3,7,9,14,22,16,16,21,24,31,163
16908,11,7,10,6,7,8,7,4,5,6,71
336400,11,18,22,22,21,24,22,26,18,15,199
158467,4,10,13,16,12,15,13,17,12,4,116
658180,8,18,29,26,26,23,13,14,16,10,183
2039898,4,5,10,9,11,7,6,15,17,12,96
729630,17,20,18,19,22,9,7,3,3,4,122
1401377,6,8,12,16,12,12,7,8,4,6,91
221731,3,1,4,7,12,8,10,10,9,9,73
2056747,4,4,6,1,14,9,14,9,11,8,80
1917490,10,9,12,6,16,7,4,13,5,0,82
2400821,3,1,5,9,5,5,13,7,12,12,72
270904,17,32,29,28,25,17,12,9,13,6,188
5557,1,8,5,10,10,18,14,9,16,8,99
692320,11,11,18,15,19,13,19,17,22,11,156
713285,14,32,44,51,53,62,44,61,38,51,450
279111,19,9,9,17,9,7,5,6,3,4,88
1254839,2,5,5,10,17,17,14,11,18,11,110
318221,3,4,7,6,10,16,12,13,15,17,103
238160,1,12,13,10,14,14,11,8,7,8,98
107089,9,8,18,17,14,19,21,15,13,11,145
46621268,1,0,1,1,0,2,1,3,10,16,35
344662,8,11,14,18,17,13,16,16,14,12,139
287319,5,8,7,13,9,9,9,8,12,5,85
1253977,10,12,13,14,9,9,3,3,4,2,79
1262170,7,8,11,21,13,13,8,5,5,3,94
238171,15,18,26,27,27,13,20,8,18,13,185
705116,7,15,30,22,28,23,20,15,14,16,190
1925726,10,12,15,13,12,23,13,19,13,8,138
631399,13,16,12,12,17,6,10,10,13,10,119
270952,5,17,20,23,19,4,2,2,2,2,96
229993,10,9,8,11,6,3,7,8,2,6,70
2143677,6,10,6,13,12,13,17,16,10,8,111
